CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
329,3,951932,164,2,2,2,0,2899.4,12090.1,-1.09,4.37,1,1
330,4,952096,164,15,15,12,3,1313.3,11439.4,-27.85,62.25,7,8
331,5,952260,164,1,1,1,0,2728.9,2728.9,7.37,7.37,1,0
332,6,952424,164,1,1,1,0,12497.8,12497.8,67.71,67.71,1,0
333,7,952588,164,14,14,9,5,1057.8,11443.1,-44.78,24.30,6,8
334,8,952752,164,2,2,0,2,1049.8,1913.4,-0.82,0.82,0,2
335,9,952916,164,5,5,2,3,259.8,3569.9,-1.37,11.47,3,2
336,10,953080,164,2,2,0,2,1844.5,1895.3,-0.82,0.82,0,2
337,11,953244,164,2,2,2,0,3954.3,3954.8,-7.10,-7.10,2,0
338,12,953408,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
339,13,953572,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
340,14,953736,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
